id,created_at,username,lang,text,
4.89440711927153E+017,2014-07-16 16:05:33,sianyjd86,en,Don't think the effort it took to get back on Twitter was worth it  #effort #pissedoff,
4.89440511326159E+017,2014-07-16 16:04:45,IamOfentsev,en,Feed a child ad where this white Lady feeds a black child like a dog its not funny its plain racist ,
4.89438796015239E+017,2014-07-16 15:57:56,DjSheperz,en,@Boadicea51 Yes I suppose. Have you read the Lisbon Treaty??? It means we can't just leave on a ref. we need 18/27 others to agree. ,
4.89438498806444E+017,2014-07-16 15:56:46,tejasG53,en,@luckytan9 Obb :D Chal bye. gtg. Dinner. Was in a trance. Now suddenly  and whoa.... #hungry!!! :D,
4.89436518956945E+017,2014-07-16 15:48:54,Sophiasogood,en,"@herefordunited1 has been totally ruined in 4 years, letting down players, staff, @HfdsCouncil, HMRC, creditors &amp; fans,@BullsNewsBlog ",
4.89435156210803E+017,2014-07-16 15:43:29,BeccaaLouise__x,en,Being lied to is something I don't forgive!  #thoughtyouknewbetter,
4.89434846767219E+017,2014-07-16 15:42:15,paulmendozam,en,#happy #tuesday  http://t.co/w0q5GPv9m6,
4.89433815933522E+017,2014-07-16 15:38:09,_Khaleesi_3,en,Thanks @AmericanAir for leaving us without our bags for second time in less than 2 months.  #neveragain,
4.89432990976446E+017,2014-07-16 15:34:52,FelsteadJordan,en,This would be me in the western days #drunk  http://t.co/ofM158G2Pe,
4.8943229866043E+017,2014-07-16 15:32:07,kaitlyncarter__,en,RT @deadinside1618: How I look when someone insults my friends  #andybiersack @ChrisABiersack @AndyBVB http://t.co/zA1LXCBiun,
4.89431424270098E+017,2014-07-16 15:28:39,BlackVeilBot,en,RT @deadinside1618: How I look when someone insults my friends  #andybiersack @ChrisABiersack @AndyBVB http://t.co/zA1LXCBiun,
4.89431207705207E+017,2014-07-16 15:27:47,deadinside1618,en,How I look when someone insults my friends  #andybiersack @ChrisABiersack @AndyBVB http://t.co/zA1LXCBiun,
4.89431023760204E+017,2014-07-16 15:27:03,shanjai007,en,"When I Got  3:) 
I Start Seeing His #Performance :D ;) — watching Glenn Maxwell 95 vs CSK",
4.89428600571965E+017,2014-07-16 15:17:26,ohveryspecial,en,Drowning my sorrows in a second cup of office coffee.  #coffee,
4.89427565266747E+017,2014-07-16 15:13:19,krystulover,en,Lights went off can't watch ENP:-( #sad  #enp #bored @EkNayiPehchaan @SonyTV @krystledsouza @poonamdhillon @nazea23 @KaranSharma206,
4.89427312497406E+017,2014-07-16 15:12:19,J_Ouat,en,To Flip Out or Not to Flip Out. That's the Question!  #byefelicia #paris #attitude #life,
4.89425015168053E+017,2014-07-16 15:03:11,pennybingo,en,New Blog! £5 Free At Brand New Angry Bingo http://t.co/zSNkDrEft4 #freebingo  bingo,
4.89424304317411E+017,2014-07-16 15:00:21,amyinapeartreee,en,been charged way over my contract by @EE because someone decided to leave me voicemails that I didn't listen to while in Turkey!! ,
