id,created_at,username,lang,text,
4.89440824842027E+017,2014-07-16 16:06:00,AbiLou06,en,Photo: That moment when @vincebeckpowell tells you you sing good *____* #ThankYou #LotsOfLove #Vine  http://t.co/un8Y7w4GtL,
4.8944082012722E+017,2014-07-16 16:05:59,beatonmydrum,en," tribute to #williampharrel #playnow http://t.co/89EMqQx913 July 16, 2014 at 06:05PM http://t.co/MKvLMPsaDg",
4.89440814846984E+017,2014-07-16 16:05:58,AbiLou06,en,That moment when  vincebeckpowell  tells you you sing good *____* #ThankYou #LotsOfLove #Vine  http://t.co/iBQLIXTCUE,
4.89440811835466E+017,2014-07-16 16:05:57,RifkahH_P,en,Play Fireworks🎇🙌😄 So beatiful😍 #Fireworks #Funny  #BeautifulFireworks #Beautiful #Loveit #LOVE… http://t.co/9uvliT75IC,
4.89440806303179E+017,2014-07-16 16:05:56,MrAydmr,en,#antalya #summer #enjoy  #day #brothers http://t.co/iYdsMJhYwF,
4.89440766759277E+017,2014-07-16 16:05:46,Amanda9542,en,Be  :) http://t.co/UVFXn3G1Rt,
4.89440752972616E+017,2014-07-16 16:05:43,erma_maer,en,spend time with my family👍❤ #me #family #sister #cousin  #cute #love #night #vscocam #today http://t.co/CZVH7u2g77,
4.89440751362015E+017,2014-07-16 16:05:43,Atakanndemirel,en,#my  #love #holiday http://t.co/B9JKGycJSJ,
4.89440749256077E+017,2014-07-16 16:05:42,gerwingM,en,"RT @n_kassia: Getting there slowly...
#illustration #illustrator #art #sketching #french #drawing #london #folowme #retweet  http://t…",
4.89440733107986E+017,2014-07-16 16:05:38,SilverSteer,en,Saying goodbye to bubblegum pink. My little girl is growing up.  #sad #allmixedup http://t.co/RefK3pgWy6,
4.894407259571E+017,2014-07-16 16:05:37,wfox47,en,Pay day ,
4.89440718180844E+017,2014-07-16 16:05:35,solo9702,en,Reflecting Back on 100: http://t.co/iefQCbViIJ #leadership #podcast #business #review 420 ,
4.89440713655222E+017,2014-07-16 16:05:34,luigivco,en,4 Ways to Keep #Employees  &gt, http://t.co/Twght7ppQg via @forbes #entrepreneur
4.89440698949567E+017,2014-07-16 16:05:30,jennat24,en,@Luke5SOS  Birthday Luke 🎉,
4.89440665499992E+017,2014-07-16 16:05:22,becca_munky,en,#july #glossybox #stars #stripes #beauty #goodies #makeup #subscription  #purchase #prettythings… http://t.co/bxgNXWxIlU,
4.89440638577168E+017,2014-07-16 16:05:16,lissssyXO,en,This weather is beautiful 😁☀️,
4.89440638178325E+017,2014-07-16 16:05:16,jjones3273,en,"Wait…I’m…Sure….That…Doesn’t…Make…Anyone……..Right? And we don’t mean the 50,000 followers. http://t.co/aRrUUebceY",
